"","Cluster","Size","community_label"
"1","WRONG , RULE , BILL , LAW , PROHIBIT , RIGHTS , ILLEGAL , JUSTICE , UNJUST , ",9,"LAW"
"2","DEFEND , POLICE , HELP , TROUBLE , BATTLE , TACKLE , CLERK , FLUNK , DEFENSE , ",9,"HELP"
"3","DEGREE , PROFESSIONAL , ASSOCIATE , EMPLOYEE , EXECUTIVE , PROFESSION , DOCTORATE , ",7,"ASSOCIATE"
"4","SCUM , ATTORNEY , GENERAL , LIAR , DISHONEST , FILE , SENATOR , LAWSUIT , LIBEL , ",9,"LIAR"
"5","TENNIS , BASKETBALL , PRO , FAULT , RACQUET , ",5,"TENNIS"
"6","DIVORCE , BREAK-UP , ",2,"DIVORCE"
"7","FUR , RICH , PRESIDENT , BANKER , SENATE , SOPHISTICATED , OWNER , LEGISLATURE , ",8,"RICH"
"8","STEAL , CRIME , CRIMINAL , LINE , JAIL , CROOK , CROOKED , CURVED , GIRLFRIEND , CORRUPT , ",10,"CRIMINAL"
"9","TAKE , CLAIM , INSURANCE , BUREAU , FEDERAL , DECLARE , CLAIMS , LABOR , ",8,"INSURANCE"
"10","GUILTY , CONFESS , APPEAL , PLEAD , GULLIBLE , PRIEST , INNOCENT , CONFESSION , ",8,"GUILTY"
"11","GUILT , YARD , PRESUME , SIGHT , HEARING , PEOPLE'S , RAKE , ",7,"YARD"
"12","ACCUSE , PROSECUTE , COURT , LAWYER , JUDGE , TRIAL , STORY , CASE , BRIEFCASE , WITNESS , JUDGMENT , MASON , OATH , TESTIFY , ",14,"COURT"
"13","CORRECT , RIGHT , CITIZEN , WIFE , LEGAL , PROVE , PAD , LAWFUL , ",8,"RIGHT"
