"","Cluster","Size","community_label"
"1","MUSIC , LOUD , NOISE , NOISY , ",4,"LOUD"
"2","PAIN , HURT , FIGHT , ",3,"HURT"
"3","SEX , REPRODUCE , ",2,"SEX"
"4","CHILD , RESPECT , ADULT , KID , PARENT , AUTHORITY , RESPONSIBILITY , DEVELOPMENT , ",8,"CHILD"
"5","MISSING , LOST , ",2,"MISSING"
"6","WORK , SCHOOL , MONEY , BOOK , PLAY , GAME , FUN , TEACH , HORSE , GAMES , BALL , PLAYING , ",12,"PLAY"
"7","GOOD , BAD , INFLUENCE , OKAY , NICE , APPROVAL , PERSUADE , MORALS , ",8,"GOOD"
"8","KIDS , CHILDREN , RED , TOYS , CLAY , PLAY DOUGH , GENE , ",7,"CHILDREN"
"9","FOOD , HUNGRY , STARVING , ",3,"HUNGRY"
"10","PEOPLE , PERSON , GROUP , ",3,"PEOPLE"
"11","WATER , TREE , PARK , SWING , SLIDE , PLAYGROUND , ",6,"PLAYGROUND"
"12","ABUSE , MISTREAT , ",2,"ABUSE"
"13","CAR , BICYCLE , TRICYCLE , ",3,"BICYCLE"
"14","STOP , NO , FORBID , ",3,"FORBID"
"15","UNDERSTAND , SMART , YOUNG , MATURE , OLD , NEW , DEVELOP , GRANDMA , GRANDPARENTS , ",9,"OLD"
"16","ALLOW , ASK , LET , PERMIT , PERMISSION , ",5,"ALLOW"
"17","LIKE , LOVE , HATE , FRIEND , FAMILY , RELATIVE , FRIENDS , DISOWN , ",8,"LOVE"
"18","HAPPY , SAD , LAUGH , ",3,"HAPPY"
"19","GUILTY , INNOCENT , ",2,"GUILTY"
"20","HOME , HOUSE , DOG , NEIGHBORHOOD , ",4,"HOUSE"
"21","BABY , INFANT , NURSERY , RHYME , ",4,"BABY"
"22","MOTHER , FATHER , CRITICAL , DAUGHTER , ",4,"MOTHER"
"23","MARRIAGE , DIVORCE , ",2,"MARRIAGE"
"24","ADULTS , PARENTS , GROWN-UPS , GUARDIANS , FOLKS , ",5,"ADULTS"
"25","BIG , SMALL , ",2,"BIG"
"26","HELP , SUPPORT , ",2,"HELP"
"27","MOM , DAD , OVERPOWER , ",3,"DAD"
"28","BOTHER , ANNOY , ",2,"BOTHER"
"29","BUILDING , BLOCKS , ",2,"BUILDING"
"30","SISTER , TWIN , BROTHER , ",3,"SISTER"
"31","RESTRICTION , LAW , RULES , OBEY , ",4,"RULES"
"32","CARING , LOVING , ",2,"CARING"
"33","TROUBLE , MISCHIEF , ",2,"TROUBLE"
"34","TOY , YO-YO , ",2,"TOY"
"35","CHILDISH , IMMATURE , ",2,"CHILDISH"
"36","DEPEND , RELY , ",2,"DEPEND"
