Wall time,Step,Value
1679688652.634054,0,0.5682819485664368
1679688991.710224,1,0.5374449491500854
1679688992.003973,2,0.5462555289268494
1679688653.5390637,3,0.5638766288757324
1679688992.562805,4,0.5506607890129089
1679688654.121335,5,0.5594713687896729
1679688654.395096,6,0.5682819485664368
1679688654.666423,7,0.5682819485664368
1679688654.948565,8,0.5682819485664368
1679688655.222175,9,0.5682819485664368
1679688655.489835,10,0.5726872086524963
1679688994.530114,11,0.5682819485664368
1679688656.082399,12,0.5682819485664368
1679688995.131037,13,0.5638766288757324
1679688995.455636,14,0.5638766288757324
1679688995.750101,15,0.5638766288757324
1679688657.218246,16,0.5726872086524963
1679688657.499078,17,0.5726872086524963
1679688996.573712,18,0.5638766288757324
1679688996.841543,19,0.5638766288757324
1679688658.341605,20,0.5726872086524963
1679688658.671364,21,0.5726872086524963
1679688998.286648,22,0.5638766288757324
1679688659.242513,23,0.5682819485664368
1679688659.544381,24,0.5682819485664368
1679688660.033856,25,0.5682819485664368
1679688660.50165,26,0.5638766288757324
1679688660.982461,27,0.5638766288757324
1679688661.487175,28,0.5638766288757324
1679689000.895676,29,0.5638766288757324
