Wall time,Step,Value
1679689155.389268,0,0.6935039162635803
1679688806.158058,1,0.6955364346504211
1679688806.46786,2,0.6955053806304932
1679688806.769753,3,0.6954633593559265
1679688807.11054,4,0.6954473257064819
1679689156.919701,5,0.6933848261833191
1679689157.222562,6,0.6933635473251343
1679689157.507131,7,0.6933393478393555
1679689157.793061,8,0.6933014988899231
1679689158.0797682,9,0.6932806372642517
1679689158.352674,10,0.6932570934295654
1679688809.237785,11,0.6952477693557739
1679688809.532726,12,0.6952223181724548
1679689159.243432,13,0.6931545734405518
1679689159.527692,14,0.6931394934654236
1679688810.409794,15,0.6951192617416382
1679689160.098134,16,0.6930893659591675
1679689160.376602,17,0.6930628418922424
1679689160.6779509,18,0.6930272579193115
1679688811.64387,19,0.6950362920761108
1679689161.307872,20,0.6929900646209717
1679688812.234008,21,0.6949808597564697
1679688812.519895,22,0.6949596405029297
1679689162.17373,23,0.6929314732551575
1679689162.481699,24,0.692897617816925
1679688813.4099112,25,0.6948578953742981
1679689163.0433202,26,0.6928574442863464
1679689163.324516,27,0.6928420662879944
1679689163.610663,28,0.6928122043609619
1679689164.074547,29,0.6927992105484009
